"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 25 08:38:39 UTC 2025","Tue Nov 25 08:38:41 UTC 2025","2032","","iteration1.ui.CreateUserTest","","iteration1.ui.CreateUserTest","adminCanCreateUserTest","adminCanCreateUserTest()",""
"passed","Tue Nov 25 08:38:32 UTC 2025","Tue Nov 25 08:38:34 UTC 2025","1577","","iteration2.ui.UpdateUserNameTest","","iteration2.ui.UpdateUserNameTest","userCannotUpdateNameTest","userCannotUpdateNameTest()",""
"skipped","Tue Nov 25 08:38:39 UTC 2025","Tue Nov 25 08:38:39 UTC 2025","0","","iteration1.ui.LoginUserTest","","iteration1.ui.LoginUserTest","adminCanLoginWithCorrectDataTest","adminCanLoginWithCorrectDataTest()",""
"passed","Tue Nov 25 08:38:41 UTC 2025","Tue Nov 25 08:38:42 UTC 2025","786","","iteration1.ui.CreateUserTest","","iteration1.ui.CreateUserTest","adminCannotCreateUserWithInvalidDataTest","adminCannotCreateUserWithInvalidDataTest()",""
"passed","Tue Nov 25 08:38:24 UTC 2025","Tue Nov 25 08:38:30 UTC 2025","5968","","iteration2.ui.TransferMoneyTest","","iteration2.ui.TransferMoneyTest","userCannotTransferMoneyTest","userCannotTransferMoneyTest()",""
"passed","Tue Nov 25 08:38:39 UTC 2025","Tue Nov 25 08:38:39 UTC 2025","519","","iteration1.ui.CreateAccountTest","","iteration1.ui.CreateAccountTest","userCanCreateAccountTest","userCanCreateAccountTest()",""
"passed","Tue Nov 25 08:38:30 UTC 2025","Tue Nov 25 08:38:32 UTC 2025","2491","","iteration2.ui.TransferMoneyTest","","iteration2.ui.TransferMoneyTest","userCanTransferMoneyTest","userCanTransferMoneyTest()",""
"passed","Tue Nov 25 08:38:38 UTC 2025","Tue Nov 25 08:38:39 UTC 2025","704","","iteration1.ui.LoginUserTest","","iteration1.ui.LoginUserTest","userCanLoginWithCorrectDataTest","userCanLoginWithCorrectDataTest()",""
"passed","Tue Nov 25 08:38:36 UTC 2025","Tue Nov 25 08:38:37 UTC 2025","1183","","iteration2.ui.DepositMoneyTest","","iteration2.ui.DepositMoneyTest","userCannotDepositInvalidAmountMoneyTest","userCannotDepositInvalidAmountMoneyTest()",""
"passed","Tue Nov 25 08:38:37 UTC 2025","Tue Nov 25 08:38:38 UTC 2025","1343","","iteration2.ui.DepositMoneyTest","","iteration2.ui.DepositMoneyTest","userCanDepositMoneyTest","userCanDepositMoneyTest()",""
"passed","Tue Nov 25 08:38:34 UTC 2025","Tue Nov 25 08:38:36 UTC 2025","1641","","iteration2.ui.UpdateUserNameTest","","iteration2.ui.UpdateUserNameTest","userCanUpdateNameTest","userCanUpdateNameTest()",""
